Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,1,78,No,1,0,No,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,No,0,-1.2789877528891656,,0,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,-0.8346107040023594,-0.9888227528258704,0.0,20,0.0,59.65,3,Churned,Yes,91,5433,Competitor,Competitor offered more data
7495-OOKFY,0,74,No,1,1,Yes,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,Yes,1,-0.9937428829905025,Offer E,1,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.5280628361338618,-0.7268481748237473,0.0,0,390.8,1024.1,3,Churned,Yes,69,5302,Competitor,Competitor made better offer
1658-BYGOY,1,71,No,1,0,Yes,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,No,0,-0.5862502117066982,Offer D,1,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.0199547481830342,-0.23292912078706515,45.61,0,203.94,1910.88,2,Churned,Yes,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,0,78,No,1,1,Yes,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,Yes,1,-0.3010053418080353,Offer C,1,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1213243651931677,0.10331534936995962,13.43,0,494.00000000000006,2995.07,2,Churned,Yes,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,0,80,No,1,1,Yes,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,Yes,1,0.18798586373252985,Offer C,1,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.39013368512007346,0.2593792077215993,0.0,0,234.21,3102.36,2,Churned,Yes,67,2793,Price,Extra data charges
4412-YLTKF,0,72,No,1,0,Yes,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,No,0,-0.2195068075512744,Offer C,1,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.44164939212522314,-0.06393532874476232,0.0,10,89.91,2235.41,1,Churned,Yes,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,0,76,No,1,1,Yes,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Yes,1,-1.2789877528891656,Offer E,1,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.18905624809997262,-0.9752308771373919,0.0,0,15.28,85.73,2,Churned,Yes,76,3964,Other,Don't know
3445-HXXGF,1,66,No,1,1,No,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Yes,6,1.0437204734285188,Offer B,0,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.6468276429835875,0.16364033010421414,40.95,0,0.0,2610.25,1,Churned,Yes,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,0,70,No,1,0,Yes,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,No,0,-0.7084980130918396,Offer D,1,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.32200000811326246,-0.5007287883699649,0.0,0,661.05,1806.75,2,Churned,Yes,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,0,77,No,1,0,Yes,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,No,0,-1.0344921501188828,Offer E,1,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.3884718881199074,-0.7840840929015295,11.05,0,188.65,681.2,2,Churned,Yes,81,4419,Price,Lack of affordable download/upload speed
0094-OIFMO,0,78,No,1,0,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,No,0,-0.8714950816053613,Offer D,1,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1.0049985751815391,-0.5119376728663078,0.0,120,127.49,1367.79,1,Churned,Yes,85,5980,Dissatisfaction,Product dissatisfaction
9947-OTFQU,1,65,No,1,0,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817,No,0,-0.7084980130918396,Offer D,1,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.32033821111309646,-0.5322372274659838,0.0,0,436.65,1510.9499999999998,1,Churned,Yes,86,4616,Competitor,Competitor had better devices
9514-JDSKI,1,77,No,1,1,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Yes,1,-1.2789877528891656,Offer E,0,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-0.8163309370005319,-0.9885800407600048,0.0,0,0.0,40.2,2,Churned,Yes,65,5828,Dissatisfaction,Limited range of services
7273-TEFQD,1,67,No,1,0,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,No,0,-1.1974892186324047,Offer E,0,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.7847567939973756,-0.9479809315606529,0.0,0,0.0,132.2,2,Churned,Yes,96,2314,Price,Long distance charges
3606-TWKGI,1,68,No,1,0,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,No,0,-0.7899965473486004,Offer D,1,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1.4005062612210766,-0.40426177455498286,0.0,10,424.84,1799.14,1,Churned,Yes,84,2494,Competitor,Competitor had better devices
4385-GZQXV,0,68,No,1,0,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,No,0,-0.6677487459634591,Offer D,1,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9867188081797118,-0.3394355882355826,0.0,0,150.88,1662.08,1,Churned,Yes,81,3810,Competitor,Competitor had better devices
3488-PGMQJ,1,66,No,1,0,No,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,No,0,-0.9937428829905025,,1,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3236618051134285,-0.7386528071181241,0.0,0,14.24,620.79,2,Churned,Yes,80,4345,Dissatisfaction,Poor expertise of online support
7534-BFESC,1,69,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-0.3417546089364157,Offer C,1,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.37683930911874425,-0.2505147131956975,0.0,0,740.88,2453.58,2,Churned,Yes,91,2018,Competitor,Competitor made better offer
8098-LLAZX,0,74,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-1.1567399515040242,Offer E,1,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.0199547481830342,-0.8315232694116419,0.0,0,126.44,522.54,3,Churned,Yes,85,3677,Competitor,Competitor made better offer
0265-EDXBD,1,76,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Yes,2,-0.015760471909372284,Offer C,1,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.33695618111475767,0.010135980810794575,0.0,0,1514.88,3818.23,2,Churned,Yes,69,4105,Attitude,Attitude of support person
2840-XANRC,1,77,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Yes,1,-0.3417546089364157,Offer C,1,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9435120861753926,-0.021769623483913477,0.0,0,386.4,2617.4500000000003,2,Churned,Yes,73,2212,Competitor,Competitor made better offer
5020-ZSTTY,0,70,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,0.8807234049149971,Offer B,1,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.5878875281398422,0.9133558368300748,0.0,0,652.32,5002.42,1,Churned,Yes,83,4149,Competitor,Competitor made better offer
5804-LEPIM,0,74,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-1.238238485760785,Offer E,1,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.1857326540996401,-0.9449580631039618,0.0,0,26.34,165.39,3,Churned,Yes,73,2671,Other,Don't know
0623-IIHUG,0,77,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-0.464002410321557,,0,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.7598298389948839,-0.6355884380582474,0.0,0,0.0,840.1,1,Churned,Yes,90,4778,Competitor,Competitor made better offer
9057-MSWCO,1,71,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-0.2195068075512744,,0,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,-1.1304105700319294,-0.6510337513406095,0.0,140,0.0,945.1,1,Churned,Yes,91,2927,Competitor,Competitor made better offer
4895-TMWIR,1,79,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Yes,1,-0.8714950816053613,,1,29.54,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,-1.4893587220678117,-0.9115520569475385,0.0,0,324.94,539.69,1,Churned,Yes,80,5888,Competitor,Competitor made better offer
0533-BNWKF,0,66,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Yes,2,0.9214726720433775,Offer B,1,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.6875953481498096,1.1448590181994232,0.0,90,2355.1,7319.799999999999,1,Churned,Yes,91,5502,Competitor,Competitor made better offer
0334-GDDSO,1,77,No,1,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-1.1974892186324047,Offer E,1,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5513279941361872,-0.9031895230418024,0.0,0,27.660000000000004,261.36,1,Churned,Yes,73,2818,Competitor,Competitor made better offer
5564-NEMQO,0,80,No,1,0,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,No,0,-1.2789877528891656,Offer E,1,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.3502505571160864,-0.9730905980111215,0.0,20,35.09,130.39,2,Churned,Yes,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,0,77,No,1,0,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,No,0,-1.1159906843756437,Offer E,0,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,-1.2068532320395708,-0.9484884204256446,0.0,0,0.0,131.05,2,Churned,Yes,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,0,77,No,1,0,No,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,No,0,-0.5047516774499374,,1,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.9750862291785486,-0.21975647503053622,0.0,80,974.6,2837.0,1,Churned,Yes,87,2666,Competitor,Competitor had better devices
5956-VKDTT,0,72,No,1,1,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Yes,4,-1.1159906843756437,Offer E,1,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.31867641411292996,-0.8585746323890362,0.0,0,228.8,563.6,1,Churned,Yes,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,0,80,No,1,1,No,0,United States,California,Perris,92571,33.828289,-117.201666,26357,Yes,2,-0.2195068075512744,,1,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3469269631157543,-0.15490822397787563,0.0,0,189.54,2118.89,1,Churned,Yes,91,4517,Attitude,Attitude of support person
2865-TCHJW,0,74,No,1,0,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,No,0,-1.1567399515040242,,1,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8122301231622688,-0.8535438732056382,0.0,0,193.4,539.6,1,Churned,Yes,74,5808,Competitor,Competitor had better devices
5192-EBGOV,0,68,No,1,0,No,0,United States,California,Brea,92823,33.924143,-117.79387,1408,No,0,-1.2789877528891656,,1,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6959043331506402,-0.968501133492934,0.0,0,45.81,131.51,1,Churned,Yes,66,4880,Competitor,Competitor had better devices
3419-SNJJD,0,78,No,1,1,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Yes,3,1.3289653433271817,Offer B,1,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,1.3456669602155942,1.9884820296820458,0.0,0,1195.35,7981.75,1,Churned,Yes,91,4196,Attitude,Attitude of support person
4554-YGZIH,1,75,No,1,1,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Yes,3,0.676977069273095,Offer B,1,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,0.8404806721650927,1.0003570800762949,0.0,0,1123.0800000000002,5670.33,2,Churned,Yes,96,5059,Competitor,Competitor made better offer
5099-BAILX,1,77,No,1,1,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Yes,1,0.4324814665028124,Offer B,1,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.5284646302338678,1.0624251747381301,0.0,0,624.36,5312.259999999999,2,Churned,Yes,65,2728,Competitor,Competitor made better offer
4913-EHYUI,1,80,No,1,1,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,No,0,0.9622219391717579,Offer B,1,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1.3224018022132684,1.550828045459683,0.0,0,2732.8,8527.449999999999,1,Churned,Yes,91,6268,Competitor,Competitor offered higher download speeds
1626-ERCMM,1,75,No,1,1,No,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,Yes,7,-0.5047516774499374,,1,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9900424021800438,-0.1680146755346229,0.0,0,106.2,2005.85,1,Churned,Yes,84,5604,Competitor,Competitor had better devices
5644-PDMZC,0,69,No,1,0,No,0,United States,California,Delano,93215,35.772244,-119.209689,37280,No,0,-1.238238485760785,,1,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.8222009051632655,-0.9350509978699896,0.0,0,94.94,256.44,2,Churned,Yes,80,2065,Attitude,Attitude of support person
4160-AMJTL,0,74,No,1,0,No,0,United States,California,Fellows,93224,35.215731,-119.57013,626,No,0,-0.9937428829905025,,1,27.95,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,-1.4993295040688086,-0.9338153728074005,0.0,0,223.6,387.9,2,Churned,Yes,83,5432,Attitude,Attitude of support person
0823-HSCDJ,1,76,No,1,0,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,No,0,0.7992248706582362,,0,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,-0.518869273970796,0.11937847518361634,0.0,30,0.0,2580.9,2,Churned,Yes,90,5597,Competitor,Competitor made better offer
0067-DKWBL,1,69,No,1,0,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,No,0,-1.238238485760785,,1,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.5155456799704636,-0.9661181423007981,0.0,0,87.98,179.07999999999998,2,Churned,Yes,95,3475,Competitor,Competitor made better offer
5244-IRFIH,1,72,No,1,1,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Yes,1,0.02498879521900814,,1,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9883806051798778,0.36414256124253597,0.0,0,916.74,4022.29,3,Churned,Yes,91,4333,Other,Poor expertise of online support
2684-EIWEO,0,69,No,1,0,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,No,0,-0.09725900616613313,,1,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.895319973170575,0.210836794548461,0.0,0,1376.4,4134.55,1,Churned,Yes,90,2482,Competitor,Competitor made better offer
6683-VLCTZ,1,73,No,1,0,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,No,0,-0.5047516774499374,,1,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1.1229861621933337,-0.19310227725183124,0.0,120,888.8,2851.6,3,Churned,Yes,92,5444,Competitor,Competitor made better offer
