Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Score,CLTV,Churn Category,Churn Reason,Total Spend
4628-WQCQQ,1,37,No,0,0,No,0,United States,California,Whittier,90603,33.945318,-117.992066,19109,No,0,0.10648732947576899,,1,25.51,No,1,Fiber Optic,16,No,No,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,0.677624566148813,0.33106752608502027,0.0,0,892.85,3923.45,1,Churned,81,5928,Competitor,Competitor had better devices,0.07215843043636366
7854-FOKSF,1,54,No,0,0,No,0,United States,California,Rosamond,93560,34.903052,-118.411251,14931,No,0,-1.2789877528891656,Offer E,0,0.0,No,1,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,-0.9592454790148186,-0.9904776078204093,0.0,0,0.0,35.9,1,Churned,93,4747,Competitor,Competitor offered higher download speeds,1.2268632196742542
1757-TCATG,1,24,Yes,0,1,Yes,1,United States,California,Huntington Beach,92649,33.721917,-118.043237,32304,Yes,4,0.10648732947576899,Offer C,1,41.02,No,0,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,-1.4860351280674797,-0.6767832950556333,0.0,0,1435.7,2182.45,3,Stayed,49,3942,Unknown,Unknown,-0.15824391229508827
0927-LCSMG,1,23,Yes,0,0,No,0,United States,California,San Jose,95129,37.305622,-122.000887,37570,No,0,-1.0344921501188828,Offer E,1,21.58,No,1,Fiber Optic,71,No,No,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,0.32864719611392706,-0.7660130763611657,0.0,10,151.06,705.6099999999999,3,Churned,75,3331,Competitor,Competitor offered more data,-0.3399829445384386
3118-UHVVQ,0,41,No,0,1,No,0,United States,California,Calpine,96124,39.672813,-120.456699,322,Yes,8,1.451213144712323,Offer A,1,17.12,Yes,0,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,-1.2949284730483754,-0.1627853337518803,0.0,0,1164.16,3075.66,4,Stayed,21,4747,Unknown,Unknown,-1.8792172215500595
0259-GBZSH,1,22,Yes,0,0,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,No,0,-1.238238485760785,Offer E,1,40.43,Yes,1,Cable,27,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6942425361504742,-0.9262251045657826,0.0,0,80.86,262.36,1,Churned,73,3878,Competitor,Competitor made better offer,-0.8596378267136903
2080-SRCDE,0,21,Yes,0,0,Yes,1,United States,California,Walnut,91789,34.018354,-117.85492,45118,No,0,-1.2789877528891656,Offer E,1,32.73,Yes,0,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,-1.3082228490497045,-0.9951112018051179,0.0,0,32.73,58.13,3,Joined,38,4556,Unknown,Unknown,1.6732010019843437
0002-ORFBO,0,37,No,0,1,No,0,United States,California,Frazier Park,93225,34.827662,-118.999073,4498,Yes,2,-0.9529936158621221,,1,42.39,No,1,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,0.0278619390838584,-0.7444999614321612,0.0,0,381.51,974.81,3,Stayed,65,2205,Unknown,Unknown,-0.026552250072456398
0827-ITJPH,1,33,No,0,0,No,0,United States,California,Los Angeles,90047,33.958149,-118.308441,47107,No,0,0.14723659660414942,Offer C,1,8.5,No,0,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,-1.5358890380724635,-0.7022680619715309,0.0,0,306.0,995.0,3,Stayed,28,5703,Unknown,Unknown,-0.2261390747274104
1385-TQOZW,0,32,No,0,0,No,0,United States,California,Branscomb,95417,39.710591,-123.682799,176,No,0,-0.9529936158621221,Offer E,1,45.99,No,0,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,-1.4727407520661506,-0.9412070584496738,0.0,0,413.91,561.46,4,Stayed,41,2392,Unknown,Unknown,1.4035125345390218
